subject,sequence,frame,cam_a,cam_b,joint_distance_raw,canonical_consistency,bone_length_dev,angle_deviation
S1,Seq1,0,0,1,0.162887305021286,0.10258276015520096,0.016170980408787727,0.5295929908752441
S1,Seq1,1,0,1,0.16377858817577362,0.10326968133449554,0.016502179205417633,0.5310417413711548
S1,Seq1,2,0,1,0.16651691496372223,0.10499593615531921,0.017211705446243286,0.5375329256057739
S1,Seq1,3,0,1,0.16832125186920166,0.10535155236721039,0.01824881136417389,0.5396919846534729
S1,Seq1,4,0,1,0.16138926148414612,0.1006968766450882,0.016913313418626785,0.5231804847717285
S1,Seq1,5,0,1,0.15862905979156494,0.09875617921352386,0.01661655120551586,0.5063616037368774
S1,Seq1,6,0,1,0.14372824132442474,0.08462104946374893,0.018250415101647377,0.4516083896160126
S1,Seq1,7,0,1,0.14609165489673615,0.08596276491880417,0.018614519387483597,0.4591003954410553
S1,Seq1,8,0,1,0.1429980844259262,0.08302468061447144,0.017971951514482498,0.4459616541862488
S1,Seq1,9,0,1,0.1418433040380478,0.08263584226369858,0.017850089818239212,0.44184333086013794
S1,Seq1,10,0,1,0.13903149962425232,0.081533282995224,0.01749487966299057,0.43564632534980774
S1,Seq1,11,0,1,0.14109636843204498,0.08370012044906616,0.018375001847743988,0.4402897357940674
S1,Seq1,12,0,1,0.14237242937088013,0.08436260372400284,0.01815711334347725,0.44409188628196716
S1,Seq1,13,0,1,0.14201390743255615,0.08412812650203705,0.01831553876399994,0.4446222186088562
S1,Seq1,14,0,1,0.14658255875110626,0.08802709728479385,0.01929713785648346,0.45636826753616333
S1,Seq1,15,0,1,0.1486089825630188,0.08976498991250992,0.01873375102877617,0.4658927321434021
S1,Seq1,16,0,1,0.13140077888965607,0.07361108064651489,0.012539464980363846,0.4253404438495636
S1,Seq1,17,0,1,0.13215884566307068,0.0732128769159317,0.012784872204065323,0.4220651686191559
S1,Seq1,18,0,1,0.13055339455604553,0.07266820222139359,0.012255813926458359,0.4200648069381714
S1,Seq1,19,0,1,0.1304505616426468,0.07292001694440842,0.012142287567257881,0.41857677698135376
S1,Seq1,20,0,1,0.13193820416927338,0.07340407371520996,0.012766087427735329,0.4184015393257141
S1,Seq1,21,0,1,0.1544303596019745,0.09463290870189667,0.018087387084960938,0.4853850305080414
S1,Seq1,22,0,1,0.13141164183616638,0.07377893477678299,0.01304423063993454,0.4236345887184143
S1,Seq1,23,0,1,0.13212673366069794,0.07356767356395721,0.012741903774440289,0.42275816202163696
S1,Seq1,24,0,1,0.13043712079524994,0.07245130836963654,0.012053697369992733,0.42302629351615906
S1,Seq1,25,0,1,0.1479720175266266,0.08868816494941711,0.018739596009254456,0.47045445442199707
S1,Seq1,26,0,1,0.15124602615833282,0.09263138473033905,0.01858491636812687,0.48254090547561646
S1,Seq1,27,0,1,0.14707787334918976,0.08846867829561234,0.019018033519387245,0.46536654233932495
S1,Seq1,28,0,1,0.14238093793392181,0.08405239135026932,0.018352212384343147,0.4467739462852478
S1,Seq1,29,0,1,0.12685127556324005,0.06948768347501755,0.013720929622650146,0.4078085124492645
S1,Seq1,30,0,1,0.14897798001766205,0.08926108479499817,0.018718944862484932,0.46855682134628296
S1,Seq1,31,0,1,0.15275241434574127,0.09256500005722046,0.01830461621284485,0.48322445154190063
S1,Seq1,32,0,1,0.1610235720872879,0.09919730573892593,0.0173707976937294,0.508643388748169
S1,Seq1,33,0,1,0.16607099771499634,0.1014990508556366,0.017798561602830887,0.5218738913536072
S1,Seq1,34,0,1,0.1321929544210434,0.06884270906448364,0.012606357224285603,0.41588056087493896
S1,Seq1,35,0,1,0.16452977061271667,0.1000436469912529,0.01693662814795971,0.5124303102493286
S1,Seq1,36,0,1,0.13243837654590607,0.06797747313976288,0.013085993938148022,0.4131321310997009
S1,Seq1,37,0,1,0.1368577778339386,0.07030954211950302,0.014209061861038208,0.4221729040145874
S1,Seq1,38,0,1,0.1357342153787613,0.07092390954494476,0.014010025188326836,0.4233395755290985
S1,Seq1,39,0,1,0.1340278685092926,0.06980924308300018,0.01329675130546093,0.4233064353466034
S1,Seq1,40,0,1,0.13140732049942017,0.06878817826509476,0.012231821194291115,0.4213748872280121
S1,Seq1,41,0,1,0.1606011986732483,0.09742496907711029,0.01615992560982704,0.5033583641052246
S1,Seq1,42,0,1,0.15645954012870789,0.09359580278396606,0.017038479447364807,0.49059611558914185
S1,Seq1,43,0,1,0.15486176311969757,0.0921923816204071,0.01719764433801174,0.4824616014957428
S1,Seq1,44,0,1,0.1547112613916397,0.09251564741134644,0.0168389230966568,0.4819278120994568
S1,Seq1,45,0,1,0.15216414630413055,0.09051300585269928,0.017458025366067886,0.47591301798820496
S1,Seq1,46,0,1,0.15710952877998352,0.09532707929611206,0.016623688861727715,0.49278759956359863
S1,Seq1,47,0,1,0.15963377058506012,0.09765952825546265,0.015630444511771202,0.4994327425956726
S1,Seq1,48,0,1,0.1573711633682251,0.09516645967960358,0.016599807888269424,0.49211180210113525
S1,Seq1,49,0,1,0.13198548555374146,0.0698254182934761,0.012870220467448235,0.41939684748649597
